gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
BX120005.2,0.6490267294493617,16.534435264357594,193.83600712713994,2.534513899731806,0.1113811832295815,NA,t4-120HF.t0-UF
hspa8,563.0280758132443,-1.0205289181247585,0.38284540363048164,6.679132193610442,0.009754810442992425,0.12563847982148343,t4-120HF.t0-UF
jhy,4.156988645151014,1.8737665746871066,1.2793598887650137,2.266365755239214,0.1322096126293826,NA,t4-120HF.t0-UF
bsx,3.7150825901482154,-2.075177419776551,1.4653585602550838,1.9256563007203447,0.1652344518912557,NA,t4-120HF.t0-UF
lim2.1,11.047685469073803,-0.5224467297026332,0.7740444129097176,0.45127444175690457,0.5017303628455898,NA,t4-120HF.t0-UF
ntm,835.9210911042169,0.7455625940051529,0.3694131692399157,4.166909925185436,0.0412209140307167,0.2972569740584462,t4-120HF.t0-UF
opcml,127.58186981787475,-0.05041796760141004,0.39496508126132235,0.016674839346286774,0.8972539188036496,0.9766486055274353,t4-120HF.t0-UF
CR925737.1,0.6188666806032627,-0.7589230763458747,3.239858956613992,0.05331984275860435,0.8173840242276568,NA,t4-120HF.t0-UF
panx3,1.3818382872736863,-0.24214657881454132,2.1690249511335837,0.012345334231664395,0.9115294682283978,NA,t4-120HF.t0-UF
pknox2,187.96950791850387,0.8677490145336599,0.4559399417008747,3.701878539638038,0.05435124342401111,0.3384458175282531,t4-120HF.t0-UF
tmem218,5.495156411333404,0.40487759817156854,0.9898047796321395,0.16830918724876653,0.6816188788102688,NA,t4-120HF.t0-UF
robo4,110.64327787503746,1.7946472096406594,0.6370739938635727,8.065903552655215,0.004510597654356449,0.07803964165261817,t4-120HF.t0-UF
robo3,110.809126050145,-0.180537580418169,0.4170295025153273,0.18640790114616124,0.6659232589090488,0.9138045873362227,t4-120HF.t0-UF
AL845320.2,0.21922912097287134,-15.342778917382347,280.2999585725167,0.59357700813504,0.44103923579489024,NA,t4-120HF.t0-UF
MSANTD2,3.6136249483664504,2.1841860596426628,1.2992605163327635,2.9792406935059788,0.0843388300440323,NA,t4-120HF.t0-UF
esama,191.56213201497638,1.0582421047844874,0.4741911458617975,5.1209285561565565,0.023638964372724686,0.21569863228758077,t4-120HF.t0-UF
fez1,52.49014256853776,0.3270759968272652,0.48598505256756114,0.45704804328460114,0.4990068151457369,0.8490319604924013,t4-120HF.t0-UF
vps26bl,15.087411700058915,-0.36186778938939335,0.6627081872474101,0.29729936632142184,0.5855804498558045,NA,t4-120HF.t0-UF
foxo1b,47.20310437686903,0.1828642423781066,0.5015862867706423,0.13522191003698225,0.7130780597261462,0.9280721654213566,t4-120HF.t0-UF
lhfpl6,92.17637996286803,-0.23511875268524074,0.4498879482154365,0.2707324237284183,0.6028408789897222,0.8925184219850328,t4-120HF.t0-UF
si:ch211-266i6.3,1.2835581187596383,-0.0998942091920548,2.0728746336433326,0.006084915406827207,0.9378233854109248,NA,t4-120HF.t0-UF
thap12a,3.555689060745505,-0.7840086625636185,1.2688640145846701,0.3750075805934472,0.5402872804512513,NA,t4-120HF.t0-UF
si:dkey-250d21.1,26.13863618551977,0.33631892760236143,0.5527268275925786,0.3754347449487412,0.5400566677665134,NA,t4-120HF.t0-UF
