gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
sesn1,12.09106838757945,-3.9191379912944857,1.024127701020032,13.97485735667222,1.8527170217932367e-4,0.012566940139312423,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
atf3,24.185897593912333,2.757510864969352,0.7721224319038947,12.762722328164912,3.535958955977477e-4,0.018181672825251932,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
flvcr1,16.898154216095936,3.059685880879634,0.8173378233895128,14.187294093085718,1.6548418749575056e-4,0.012268920691545414,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
msra,13.01901335410989,-3.4017146730902397,0.9470243443147619,11.863249078973233,5.725257207663002e-4,0.025178233462287286,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
fabp1b.1,58.476790707960454,2.265027266699987,0.6780546886084509,11.10135796092159,8.626453049191543e-4,0.0343764154010283,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
slc6a8,65.56611271224293,2.8272255993257556,0.6804247502858661,16.963245334018396,3.8110498600919774e-5,0.003919234501281685,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
zgc:77486.1,19.392293270755488,2.8464676093360826,0.7657034932334886,14.035210532217867,1.794193195610316e-4,0.012566940139312423,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
sult1st1,6.892715254711779,4.050201018254241,1.3439808450382518,10.64541669463971,0.0011034401776635616,0.03823660093903733,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
si:dkey-32e23.4,18.72010369322787,2.54446897062207,0.7705718755696082,11.66312333818707,6.37512198679999e-4,0.02674195907094522,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
egln3,26.151943148076096,5.01401293764855,1.065360017439962,21.365550911542947,3.795296974576538e-6,5.922950025263558e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
p4ha1b,13.829786596642851,5.40435918368571,1.2668907373524703,22.906767741546595,1.7005206601691474e-6,3.1889763909524955e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
si:ch211-149k12.3,10.945213464187441,3.514415360129323,1.0100781886450956,13.407674353551162,2.5059691763249946e-4,0.014525508607498332,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
